Case_Type,Test_Index,Actual_Class,Predicted_Class,Predicted_Probability,Top_Positive_Contributing_Features,Top_Negative_Contributing_Features
True Positive (Approved -> Approved),39,Approved (1),Approved (1),0.8724,Gender_Prefer not to say (+0.382); Requested Loan Amount (+0.241); Monthly Income (+0.230),Marital Status_Married (-0.050); Loan Type_Education (-0.050); Loan Purpose_Other (-0.045)
True Negative (Rejected -> Rejected),460,Rejected (0),Rejected (0),0.0474,Gender_Male (+0.134); Existing Loan Status_No (+0.121); Loan Purpose_Agriculture (+0.107),"Requested Loan Amount (-0.958); Required Documents Submitted_Yes, all (-0.937); Required Documents Submitted_No, some missing (-0.494)"
False Positive (Rejected -> Approved),503,Rejected (0),Approved (1),0.8463,Loan Type_Education (+0.701); Requested Loan Amount (+0.274); Existing Loan Status_No (+0.244),Collateral Availability_No (-0.192); Monthly Income (-0.089); Education Level_Secondary (-0.073)
False Negative (Approved -> Rejected),461,Approved (1),Rejected (0),0.1048,Requested Loan Amount (+0.146); Collateral Availability_No (+0.143); Monthly Loan Repayment (+0.073),"Required Documents Submitted_Yes, all (-0.726); Required Documents Submitted_No, some missing (-0.662); Loan Type_Housing (-0.221)"
