Case_Type,Test_Index,Actual_Class,Predicted_Class,Predicted_Probability,Top_Positive_Factors_Supporting_Approval,Top_Negative_Factors_Supporting_Rejection
True Positive (Approved -> Approved),39,Approved (1),Approved (1),0.8724,"Gender_Prefer not to say > 0.00 (+0.093); Required Documents Submitted_No, some missing <= 0.00 (+0.092); 2.00 < Requested Loan Amount <= 4.00 (+0.079)",Marital Status_Prefer not to say <= 0.00 (-0.089); Loan Type_Education <= 0.00 (-0.081); Education Level_Primary <= 0.00 (-0.068)
True Negative (Rejected -> Rejected),460,Rejected (0),Rejected (0),0.0474,0.00 < Existing Loan Status_No <= 1.00 (+0.058),"Requested Loan Amount > 4.00 (-0.143); Required Documents Submitted_No, some missing > 0.00 (-0.106); Loan Type_Education <= 0.00 (-0.093)"
False Positive (Rejected -> Approved),503,Rejected (0),Approved (1),0.8463,"Required Documents Submitted_No, some missing <= 0.00 (+0.096); Loan Type_Education > 0.00 (+0.091); 2.00 < Requested Loan Amount <= 4.00 (+0.080)",Marital Status_Prefer not to say <= 0.00 (-0.103); Gender_Prefer not to say <= 0.00 (-0.076); 0.00 < Collateral Availability_No <= 1.00 (-0.061)
False Negative (Approved -> Rejected),461,Approved (1),Rejected (0),0.1048,2.00 < Requested Loan Amount <= 4.00 (+0.083); Collateral Availability_No <= 0.00 (+0.061),"Required Documents Submitted_No, some missing > 0.00 (-0.099); Loan Type_Education <= 0.00 (-0.092); Gender_Prefer not to say <= 0.00 (-0.077)"
